CheckInID,MemberID,CheckInDate,CheckInHour,ClassAttended,DurationMinutes
CI001446,M0085,2025-04-20,6,HIIT,30
CI001447,M0085,2025-07-19,6,Gym Floor,77
CI001448,M0085,2025-04-02,9,HIIT,26
CI001449,M0085,2025-03-19,20,Gym Floor,63
CI001450,M0085,2025-08-27,17,Gym Floor,91
CI001451,M0085,2025-03-05,7,Gym Floor,50
CI001452,M0085,2025-03-25,19,Gym Floor,32
CI001453,M0085,2025-08-19,16,Cardio,28
CI001454,M0085,2025-03-16,21,Gym Floor,68
CI001455,M0086,2025-05-16,11,Zumba,85
CI001456,M0086,2025-06-23,8,Strength Training,23
CI001457,M0086,2025-03-08,17,Spin,55
CI001458,M0086,2025-06-18,9,Gym Floor,51
CI001459,M0086,2025-05-14,10,Gym Floor,64
CI001460,M0086,2025-07-31,8,Strength Training,43
CI001461,M0086,2025-05-31,20,HIIT,75
CI001462,M0086,2025-03-18,11,Gym Floor,58
CI001463,M0086,2025-07-05,20,CrossFit,59
CI001464,M0086,2025-08-30,18,Yoga,34
CI001465,M0086,2025-03-22,11,Cardio,48
CI001466,M0086,2025-07-01,18,HIIT,84
CI001467,M0086,2025-08-11,18,Gym Floor,49
CI001468,M0086,2025-06-03,8,Strength Training,70
CI001469,M0086,2025-07-31,18,Gym Floor,73
CI001470,M0086,2025-06-13,19,Gym Floor,61
CI001471,M0087,2025-08-12,8,Gym Floor,34
CI001472,M0087,2025-07-25,9,Zumba,56
CI001473,M0087,2025-03-10,17,Gym Floor,34
CI001474,M0087,2025-07-26,8,Gym Floor,79
CI001475,M0087,2025-06-29,8,Gym Floor,59
CI001476,M0087,2025-06-04,19,Zumba,65
CI001477,M0087,2025-04-19,6,Gym Floor,58
CI001478,M0087,2025-04-22,17,Yoga,47
CI001479,M0087,2025-06-05,19,Zumba,40
CI001480,M0087,2025-05-16,20,Gym Floor,52
CI001481,M0087,2025-08-19,20,Gym Floor,86
CI001482,M0087,2025-05-02,7,Gym Floor,66
CI001483,M0087,2025-04-08,18,Yoga,44
CI001484,M0087,2025-06-05,6,Yoga,63
CI001485,M0087,2025-03-05,19,Gym Floor,74
CI001486,M0087,2025-07-29,8,Yoga,24
CI001487,M0087,2025-06-03,8,Spin,57
CI001488,M0087,2025-06-21,8,Gym Floor,20
CI001489,M0087,2025-05-22,20,Zumba,20
CI001490,M0087,2025-03-09,18,Zumba,69
CI001491,M0087,2025-08-10,9,Yoga,36
CI001492,M0087,2025-06-25,19,Gym Floor,20
CI001493,M0087,2025-08-03,18,Gym Floor,70
CI001494,M0087,2025-07-20,10,Strength Training,71
CI001495,M0087,2025-06-18,19,Gym Floor,61
CI001496,M0087,2025-04-26,20,Spin,63
CI001497,M0088,2025-07-09,6,Gym Floor,20
CI001498,M0088,2025-04-02,6,Yoga,84
CI001499,M0088,2025-04-13,19,Gym Floor,84
CI001500,M0088,2025-06-28,18,Strength Training,58
CI001501,M0088,2025-03-21,17,Pilates,79
CI001502,M0088,2025-05-15,12,Gym Floor,79
CI001503,M0088,2025-05-25,19,Gym Floor,37
CI001504,M0089,2025-05-29,18,Gym Floor,20
CI001505,M0089,2025-05-09,20,CrossFit,58
CI001506,M0089,2025-04-18,16,Pilates,41
CI001507,M0089,2025-03-31,19,Cardio,46
CI001508,M0089,2025-03-19,19,Strength Training,84
CI001509,M0089,2025-08-04,6,Gym Floor,57
CI001510,M0089,2025-06-18,19,Gym Floor,41
CI001511,M0089,2025-08-15,10,Gym Floor,33
CI001512,M0089,2025-05-04,18,Gym Floor,87
CI001513,M0090,2025-04-11,17,Gym Floor,55
CI001514,M0091,2025-05-17,18,Gym Floor,57
CI001515,M0091,2025-08-28,17,CrossFit,32
CI001516,M0091,2025-06-30,17,CrossFit,72
CI001517,M0091,2025-07-10,17,Pilates,83
CI001518,M0091,2025-03-05,16,Gym Floor,63
CI001519,M0091,2025-05-23,17,Gym Floor,54
CI001520,M0091,2025-08-31,8,CrossFit,51
CI001521,M0091,2025-04-23,7,Gym Floor,48
CI001522,M0091,2025-07-29,9,CrossFit,57
CI001523,M0091,2025-07-27,12,Gym Floor,44
CI001524,M0091,2025-06-30,18,Gym Floor,24
CI001525,M0091,2025-04-24,12,Gym Floor,80
CI001526,M0091,2025-08-24,17,Gym Floor,49
CI001527,M0091,2025-04-14,8,Zumba,95
CI001528,M0091,2025-07-06,9,Spin,20
CI001529,M0091,2025-07-15,7,Strength Training,41
CI001530,M0091,2025-06-25,10,Pilates,35
CI001531,M0091,2025-08-13,17,Gym Floor,61
CI001532,M0091,2025-03-01,10,Gym Floor,52
CI001533,M0092,2025-05-08,6,Gym Floor,20
CI001534,M0092,2025-08-05,18,Gym Floor,65
CI001535,M0092,2025-08-02,9,Gym Floor,56
CI001536,M0092,2025-03-13,7,Gym Floor,73
CI001537,M0092,2025-06-20,8,Gym Floor,44
CI001538,M0092,2025-08-03,19,Gym Floor,53
CI001539,M0092,2025-06-18,7,Gym Floor,60
CI001540,M0092,2025-04-01,8,Gym Floor,69
CI001541,M0092,2025-05-21,6,Gym Floor,59
CI001542,M0092,2025-05-05,17,Gym Floor,51
CI001543,M0092,2025-07-29,8,Yoga,61
CI001544,M0092,2025-05-04,10,Cardio,39
CI001545,M0092,2025-07-08,18,Gym Floor,37
CI001546,M0092,2025-04-18,7,Gym Floor,36
CI001547,M0092,2025-07-27,19,Gym Floor,49
CI001548,M0092,2025-03-27,20,Gym Floor,52
CI001549,M0092,2025-06-21,18,Strength Training,57
CI001550,M0092,2025-03-31,8,Yoga,65
CI001551,M0092,2025-06-06,9,Strength Training,45
CI001552,M0093,2025-07-10,18,HIIT,68
CI001553,M0093,2025-05-29,9,Zumba,60
CI001554,M0093,2025-03-10,7,Cardio,58
CI001555,M0093,2025-05-14,10,Gym Floor,59
CI001556,M0093,2025-08-17,6,Strength Training,50
CI001557,M0093,2025-05-30,18,Zumba,52
CI001558,M0093,2025-05-21,6,Strength Training,53
CI001559,M0093,2025-05-18,20,Pilates,68
CI001560,M0093,2025-08-01,7,Pilates,43
CI001561,M0093,2025-04-15,19,Gym Floor,49
CI001562,M0093,2025-03-17,11,HIIT,72
CI001563,M0093,2025-04-22,10,Yoga,52
CI001564,M0093,2025-06-03,21,Zumba,54
CI001565,M0093,2025-07-21,18,Spin,34
CI001566,M0093,2025-06-28,12,Gym Floor,57
CI001567,M0093,2025-08-02,19,Gym Floor,61
CI001568,M0093,2025-07-13,19,HIIT,31
CI001569,M0093,2025-05-07,7,Gym Floor,44
CI001570,M0093,2025-08-02,20,HIIT,59
CI001571,M0093,2025-03-12,16,Gym Floor,77
CI001572,M0093,2025-06-27,17,Gym Floor,57
CI001573,M0093,2025-05-07,10,Cardio,58
CI001574,M0093,2025-06-21,19,Zumba,55
CI001575,M0093,2025-05-02,20,Gym Floor,42
CI001576,M0093,2025-07-11,8,Pilates,72
CI001577,M0093,2025-05-27,19,Gym Floor,49
CI001578,M0093,2025-08-25,7,Gym Floor,54
CI001579,M0093,2025-04-08,16,Pilates,51
CI001580,M0093,2025-03-14,16,Gym Floor,38
CI001581,M0093,2025-06-24,17,CrossFit,77
CI001582,M0093,2025-03-17,18,HIIT,33
CI001583,M0093,2025-05-19,19,Cardio,86
CI001584,M0093,2025-06-24,11,Gym Floor,44
CI001585,M0093,2025-08-03,9,Gym Floor,26
CI001586,M0093,2025-06-25,17,Strength Training,81
CI001587,M0093,2025-04-21,8,Gym Floor,56
CI001588,M0093,2025-08-04,9,CrossFit,57
CI001589,M0093,2025-08-18,17,Spin,36
CI001590,M0093,2025-03-22,21,Strength Training,54
CI001591,M0093,2025-06-24,18,Pilates,40
CI001592,M0094,2025-08-08,16,Zumba,49
CI001593,M0094,2025-08-18,6,Gym Floor,32
CI001594,M0094,2025-06-18,17,Cardio,25
CI001595,M0094,2025-03-29,18,Gym Floor,82
CI001596,M0094,2025-08-18,19,Gym Floor,62
CI001597,M0095,2025-08-19,7,Spin,50
CI001598,M0095,2025-03-04,17,CrossFit,37
CI001599,M0095,2025-04-24,19,HIIT,53
CI001600,M0095,2025-06-24,12,Strength Training,40
CI001601,M0095,2025-03-06,19,Gym Floor,69
CI001602,M0095,2025-03-14,18,Spin,63
CI001603,M0095,2025-08-25,10,CrossFit,50
CI001604,M0095,2025-07-25,7,Pilates,75
CI001605,M0095,2025-03-04,7,Yoga,37
CI001606,M0095,2025-05-24,19,Yoga,54
CI001607,M0095,2025-04-08,6,Gym Floor,23
CI001608,M0095,2025-08-10,7,Zumba,66
CI001609,M0095,2025-08-14,18,Gym Floor,38
CI001610,M0095,2025-05-02,19,CrossFit,86
CI001611,M0095,2025-08-04,20,Zumba,67
CI001612,M0095,2025-03-04,8,Pilates,48
CI001613,M0095,2025-07-21,8,Gym Floor,48
CI001614,M0095,2025-07-01,19,Strength Training,40
CI001615,M0095,2025-05-12,10,Strength Training,59
CI001616,M0095,2025-08-07,6,Gym Floor,59
CI001617,M0095,2025-05-03,9,CrossFit,57
CI001618,M0096,2025-08-11,18,Gym Floor,34
CI001619,M0096,2025-04-15,6,Gym Floor,20
CI001620,M0096,2025-07-22,17,CrossFit,51
CI001621,M0096,2025-05-14,18,Spin,82
CI001622,M0096,2025-04-14,19,CrossFit,80
CI001623,M0096,2025-06-26,16,Gym Floor,64
CI001624,M0096,2025-06-22,19,Pilates,20
CI001625,M0096,2025-08-20,6,Cardio,43
CI001626,M0096,2025-05-20,21,Zumba,53
CI001627,M0096,2025-04-29,19,Gym Floor,76
CI001628,M0096,2025-04-14,6,Cardio,64
CI001629,M0096,2025-04-21,20,Pilates,38
CI001630,M0096,2025-03-01,21,HIIT,47
CI001631,M0096,2025-03-14,7,Strength Training,28
CI001632,M0096,2025-08-09,8,Cardio,58
CI001633,M0096,2025-03-21,20,HIIT,48
CI001634,M0096,2025-08-01,9,Gym Floor,59
CI001635,M0096,2025-05-15,19,Gym Floor,53
CI001636,M0096,2025-03-27,7,Yoga,53
CI001637,M0096,2025-07-28,17,Gym Floor,35
CI001638,M0096,2025-07-10,21,HIIT,27
CI001639,M0096,2025-04-03,19,Pilates,20
CI001640,M0096,2025-06-05,17,Spin,74
CI001641,M0096,2025-06-01,18,HIIT,54
CI001642,M0096,2025-08-27,17,Spin,75
CI001643,M0096,2025-03-27,18,Pilates,54
CI001644,M0096,2025-08-28,18,Gym Floor,35
CI001645,M0096,2025-03-19,18,Gym Floor,79
CI001646,M0096,2025-08-02,18,Gym Floor,71
CI001647,M0096,2025-08-13,21,Gym Floor,56
CI001648,M0096,2025-04-14,12,Gym Floor,36
CI001649,M0096,2025-06-05,11,HIIT,43
CI001650,M0096,2025-05-05,16,Gym Floor,50
CI001651,M0096,2025-06-15,17,Zumba,90
CI001652,M0096,2025-03-18,6,Yoga,43
CI001653,M0096,2025-06-15,6,Pilates,50
CI001654,M0097,2025-08-23,7,Zumba,60
CI001655,M0097,2025-05-01,9,Gym Floor,73
CI001656,M0097,2025-07-30,18,Gym Floor,73
CI001657,M0098,2025-05-03,8,Yoga,52
CI001658,M0098,2025-04-13,18,HIIT,30
CI001659,M0098,2025-07-03,11,Pilates,71
CI001660,M0098,2025-06-01,21,Strength Training,32
CI001661,M0098,2025-05-30,6,Cardio,47
CI001662,M0098,2025-08-27,8,CrossFit,82
CI001663,M0098,2025-08-06,18,CrossFit,89
CI001664,M0098,2025-06-20,18,Gym Floor,27
CI001665,M0098,2025-08-12,7,Pilates,80
CI001666,M0098,2025-06-14,21,Gym Floor,51
CI001667,M0098,2025-06-02,7,Gym Floor,51
CI001668,M0098,2025-07-31,7,Gym Floor,57
CI001669,M0098,2025-07-23,19,Gym Floor,65
CI001670,M0098,2025-04-01,20,Gym Floor,49
CI001671,M0098,2025-05-21,7,Cardio,42
CI001672,M0098,2025-05-28,19,Pilates,70
CI001673,M0098,2025-04-01,20,Gym Floor,55
CI001674,M0098,2025-03-30,18,Yoga,51
CI001675,M0098,2025-06-09,16,Zumba,89
CI001676,M0098,2025-08-27,16,Spin,36
CI001677,M0099,2025-07-13,7,Gym Floor,91
CI001678,M0099,2025-05-24,10,Yoga,40
CI001679,M0099,2025-04-24,18,Spin,41
CI001680,M0099,2025-03-24,18,Spin,61
CI001681,M0099,2025-08-19,11,Gym Floor,49
CI001682,M0099,2025-04-15,20,Gym Floor,51
CI001683,M0099,2025-07-02,19,Gym Floor,56
CI001684,M0099,2025-04-03,18,Gym Floor,44
CI001685,M0100,2025-07-10,7,Gym Floor,20
CI001686,M0100,2025-08-22,16,Strength Training,45
CI001687,M0100,2025-08-07,6,Pilates,78
CI001688,M0100,2025-05-29,11,Pilates,44
CI001689,M0100,2025-03-26,7,Yoga,70
CI001690,M0100,2025-07-26,19,Spin,39
CI001691,M0100,2025-03-14,17,Gym Floor,56
CI001692,M0100,2025-08-09,19,HIIT,50
CI001693,M0100,2025-04-21,18,Cardio,37
CI001694,M0100,2025-05-27,17,CrossFit,43
CI001695,M0100,2025-08-24,12,HIIT,37
CI001696,M0100,2025-07-10,19,HIIT,26
CI001697,M0100,2025-05-08,18,Gym Floor,38
CI001698,M0100,2025-03-20,17,Spin,62
CI001699,M0100,2025-08-03,20,Gym Floor,49
CI001700,M0100,2025-07-11,18,Gym Floor,54
CI001701,M0100,2025-03-13,11,Pilates,48
CI001702,M0100,2025-03-30,6,Cardio,68
CI001703,M0100,2025-08-14,18,Gym Floor,81
CI001704,M0100,2025-05-16,20,Zumba,57
CI001705,M0100,2025-08-01,19,Strength Training,43
CI001706,M0100,2025-08-20,7,CrossFit,40
CI001707,M0100,2025-05-21,18,Gym Floor,56
CI001708,M0100,2025-03-14,18,Gym Floor,20
CI001709,M0100,2025-05-25,9,Pilates,72
CI001710,M0100,2025-03-30,17,HIIT,42
CI001711,M0100,2025-04-01,10,Gym Floor,85
CI001712,M0100,2025-08-07,18,Gym Floor,48
CI001713,M0100,2025-03-03,19,Zumba,61
CI001714,M0100,2025-07-16,18,Pilates,94
CI001715,M0100,2025-05-14,11,Strength Training,65
CI001716,M0100,2025-08-10,17,Gym Floor,56
CI001717,M0100,2025-04-20,6,Gym Floor,78
CI001718,M0100,2025-07-13,9,Zumba,20
CI001719,M0100,2025-05-25,7,Gym Floor,72
CI001720,M0100,2025-05-27,18,Spin,50
CI001721,M0101,2025-08-29,17,Gym Floor,51
CI001722,M0101,2025-08-08,17,Gym Floor,47
CI001723,M0101,2025-04-15,18,Gym Floor,42
CI001724,M0101,2025-04-04,17,Yoga,74
CI001725,M0101,2025-07-17,19,Gym Floor,36
CI001726,M0101,2025-07-24,21,Gym Floor,86
CI001727,M0101,2025-04-20,18,Pilates,43
CI001728,M0101,2025-03-01,20,Gym Floor,23
CI001729,M0101,2025-06-08,8,Gym Floor,80
CI001730,M0101,2025-07-20,19,Gym Floor,52
CI001731,M0101,2025-05-14,12,Gym Floor,51
CI001732,M0101,2025-05-22,18,HIIT,61
CI001733,M0102,2025-05-07,9,Yoga,49
CI001734,M0102,2025-05-01,6,Gym Floor,40
CI001735,M0102,2025-05-06,7,Gym Floor,82
CI001736,M0102,2025-07-27,16,Gym Floor,50
CI001737,M0102,2025-05-03,6,CrossFit,42
CI001738,M0102,2025-07-13,7,Gym Floor,86
CI001739,M0102,2025-03-27,8,HIIT,51
CI001740,M0102,2025-03-10,10,Gym Floor,42
CI001741,M0102,2025-07-09,8,Gym Floor,27
CI001742,M0102,2025-07-11,12,HIIT,80
CI001743,M0102,2025-04-07,6,CrossFit,52
CI001744,M0102,2025-07-05,16,Gym Floor,56
CI001745,M0102,2025-07-05,9,Gym Floor,20
CI001746,M0102,2025-04-18,19,Gym Floor,77
CI001747,M0102,2025-05-26,17,Zumba,69
CI001748,M0102,2025-07-14,16,Spin,54
CI001749,M0102,2025-08-03,21,Gym Floor,59
CI001750,M0102,2025-06-21,17,Strength Training,60
CI001751,M0102,2025-04-20,21,Gym Floor,46
CI001752,M0102,2025-08-22,18,Pilates,20
CI001753,M0102,2025-05-18,6,Pilates,34
CI001754,M0102,2025-06-20,10,Yoga,27
CI001755,M0102,2025-05-28,9,Gym Floor,52
CI001756,M0102,2025-04-29,17,Gym Floor,28
CI001757,M0102,2025-03-17,18,Zumba,52
CI001758,M0102,2025-04-26,17,Spin,51
CI001759,M0103,2025-08-05,18,Gym Floor,65
CI001760,M0103,2025-08-30,19,Gym Floor,21
CI001761,M0103,2025-05-13,12,Gym Floor,41
CI001762,M0103,2025-03-10,10,Gym Floor,53
CI001763,M0103,2025-03-22,20,Spin,62
CI001764,M0103,2025-06-28,11,Zumba,76
CI001765,M0103,2025-08-10,8,Zumba,63
CI001766,M0103,2025-03-06,9,Strength Training,30
CI001767,M0103,2025-06-30,17,Gym Floor,54
CI001768,M0103,2025-06-23,7,CrossFit,89
CI001769,M0103,2025-05-30,17,Strength Training,60
CI001770,M0103,2025-08-02,16,Gym Floor,54
CI001771,M0103,2025-05-07,18,Pilates,34
CI001772,M0103,2025-03-30,10,Spin,79
CI001773,M0103,2025-05-06,11,Zumba,53
CI001774,M0103,2025-07-27,7,Gym Floor,63
CI001775,M0103,2025-05-11,18,Gym Floor,63
CI001776,M0104,2025-08-22,19,Gym Floor,32
CI001777,M0104,2025-07-13,18,Gym Floor,85
CI001778,M0104,2025-03-19,7,Gym Floor,40
CI001779,M0104,2025-05-08,19,Gym Floor,39
CI001780,M0104,2025-06-09,6,Zumba,60
CI001781,M0104,2025-07-17,19,HIIT,54
CI001782,M0104,2025-03-02,19,Gym Floor,66
CI001783,M0104,2025-06-13,16,Gym Floor,26
CI001784,M0104,2025-07-26,6,Gym Floor,47
CI001785,M0104,2025-03-15,7,Gym Floor,81
CI001786,M0104,2025-03-21,19,Gym Floor,47
CI001787,M0104,2025-06-21,7,Gym Floor,72
CI001788,M0104,2025-04-08,18,Zumba,81
CI001789,M0104,2025-03-06,17,Cardio,49
CI001790,M0104,2025-07-26,18,Strength Training,83
CI001791,M0104,2025-08-18,7,Gym Floor,49
CI001792,M0104,2025-03-12,17,Zumba,37
CI001793,M0104,2025-03-14,8,Gym Floor,20
CI001794,M0104,2025-04-05,8,HIIT,69
CI001795,M0104,2025-05-08,18,Cardio,69
CI001796,M0104,2025-04-05,11,Yoga,61
CI001797,M0104,2025-04-20,6,Gym Floor,72
CI001798,M0104,2025-04-26,18,Gym Floor,75
CI001799,M0104,2025-03-24,16,Gym Floor,52
CI001800,M0106,2025-07-04,17,Gym Floor,77
CI001801,M0106,2025-06-22,6,Yoga,20
CI001802,M0106,2025-07-12,8,Cardio,51
CI001803,M0106,2025-03-23,7,Gym Floor,59
CI001804,M0106,2025-06-19,21,Gym Floor,34
CI001805,M0106,2025-08-25,16,Gym Floor,99
CI001806,M0106,2025-08-25,9,Pilates,33
CI001807,M0106,2025-06-05,16,Strength Training,65
CI001808,M0106,2025-08-10,9,Pilates,75
CI001809,M0106,2025-03-01,7,Gym Floor,83
CI001810,M0106,2025-04-30,9,Strength Training,69
CI001811,M0106,2025-07-10,11,Pilates,47
CI001812,M0106,2025-08-25,11,HIIT,50
CI001813,M0106,2025-04-05,12,Pilates,43
CI001814,M0106,2025-07-08,19,HIIT,52
CI001815,M0106,2025-04-25,6,Gym Floor,65
CI001816,M0106,2025-06-19,19,Gym Floor,91
CI001817,M0106,2025-06-20,18,Gym Floor,25
CI001818,M0106,2025-07-04,19,Pilates,51
CI001819,M0106,2025-08-12,7,Zumba,69
CI001820,M0106,2025-04-30,19,Gym Floor,60
CI001821,M0106,2025-07-11,9,Gym Floor,34
CI001822,M0106,2025-06-13,8,Gym Floor,41
CI001823,M0106,2025-05-13,17,Cardio,87
CI001824,M0106,2025-08-20,8,Zumba,71
CI001825,M0106,2025-07-11,17,Gym Floor,42
CI001826,M0106,2025-03-13,17,Gym Floor,24
CI001827,M0107,2025-03-20,18,Spin,72
CI001828,M0107,2025-03-26,16,Gym Floor,32
CI001829,M0107,2025-07-03,19,Gym Floor,42
CI001830,M0107,2025-08-28,18,Gym Floor,69
CI001831,M0107,2025-07-20,18,Gym Floor,57
CI001832,M0107,2025-07-20,20,Gym Floor,43
CI001833,M0107,2025-05-11,7,Gym Floor,50
CI001834,M0107,2025-08-02,17,Strength Training,53
CI001835,M0107,2025-08-12,7,CrossFit,45
CI001836,M0107,2025-06-04,17,Gym Floor,65
CI001837,M0107,2025-07-09,20,Gym Floor,60
CI001838,M0107,2025-08-01,17,Zumba,70
CI001839,M0107,2025-06-20,16,Gym Floor,65
CI001840,M0107,2025-06-23,16,Cardio,75
CI001841,M0107,2025-03-04,19,Yoga,66
CI001842,M0107,2025-03-22,19,CrossFit,57
CI001843,M0107,2025-06-02,8,HIIT,55
CI001844,M0107,2025-03-21,7,Gym Floor,60
CI001845,M0107,2025-08-01,17,Gym Floor,39
CI001846,M0107,2025-05-12,16,Gym Floor,51
CI001847,M0107,2025-04-06,18,Strength Training,24
CI001848,M0107,2025-04-12,18,Zumba,63
CI001849,M0107,2025-03-25,19,Yoga,61
CI001850,M0107,2025-07-14,7,Spin,55
CI001851,M0107,2025-03-21,7,CrossFit,59
CI001852,M0107,2025-04-26,6,Cardio,74
CI001853,M0107,2025-06-03,19,Gym Floor,55
CI001854,M0107,2025-04-21,11,Gym Floor,69
CI001855,M0108,2025-07-14,12,Pilates,73
CI001856,M0108,2025-08-24,7,Zumba,46
CI001857,M0108,2025-08-28,17,Gym Floor,72
CI001858,M0108,2025-07-08,18,Pilates,49
CI001859,M0108,2025-05-11,18,Spin,51
CI001860,M0108,2025-07-21,8,Cardio,36
CI001861,M0109,2025-04-01,17,Gym Floor,67
CI001862,M0109,2025-03-09,18,Gym Floor,38
CI001863,M0109,2025-04-14,19,Gym Floor,54
CI001864,M0109,2025-05-14,18,Pilates,34
CI001865,M0109,2025-03-18,18,Gym Floor,43
CI001866,M0109,2025-03-28,9,Pilates,54
CI001867,M0109,2025-07-13,18,Gym Floor,57
CI001868,M0109,2025-07-21,7,Gym Floor,51
CI001869,M0109,2025-04-10,7,Yoga,63
CI001870,M0109,2025-05-29,19,Gym Floor,58
CI001871,M0109,2025-05-05,8,Zumba,35
CI001872,M0109,2025-03-19,20,Gym Floor,62
CI001873,M0109,2025-03-15,17,Gym Floor,69
CI001874,M0109,2025-03-06,17,Gym Floor,76
CI001875,M0109,2025-08-24,19,CrossFit,49
CI001876,M0109,2025-07-07,7,Gym Floor,43
CI001877,M0109,2025-06-05,7,Spin,66
CI001878,M0109,2025-07-20,19,CrossFit,74
CI001879,M0109,2025-03-01,7,Gym Floor,88
CI001880,M0109,2025-07-02,9,Gym Floor,31
CI001881,M0109,2025-04-21,20,HIIT,60
CI001882,M0109,2025-03-03,7,Strength Training,77
CI001883,M0109,2025-08-25,7,Gym Floor,52
CI001884,M0109,2025-04-16,17,Spin,83
CI001885,M0109,2025-03-21,11,Gym Floor,43
CI001886,M0109,2025-04-19,10,Yoga,86
CI001887,M0110,2025-06-25,17,Spin,91
CI001888,M0110,2025-07-09,8,Yoga,51
CI001889,M0110,2025-08-20,18,Gym Floor,60
CI001890,M0110,2025-03-29,9,Pilates,34
CI001891,M0110,2025-06-25,9,Gym Floor,49
CI001892,M0111,2025-04-05,7,Gym Floor,52
CI001893,M0111,2025-04-21,12,Pilates,31
CI001894,M0111,2025-06-18,17,Gym Floor,64
CI001895,M0111,2025-08-19,9,Cardio,39
CI001896,M0111,2025-07-29,20,Spin,50
CI001897,M0111,2025-06-03,12,Gym Floor,67
CI001898,M0111,2025-08-02,8,HIIT,36
CI001899,M0111,2025-04-18,17,Zumba,58
CI001900,M0111,2025-07-07,7,Cardio,81
CI001901,M0112,2025-06-05,19,Gym Floor,48
CI001902,M0112,2025-07-12,8,Gym Floor,39
CI001903,M0112,2025-08-18,7,Gym Floor,82
CI001904,M0112,2025-03-21,17,Gym Floor,43
CI001905,M0112,2025-03-27,19,HIIT,55
CI001906,M0112,2025-06-25,17,Gym Floor,64
CI001907,M0112,2025-07-21,9,CrossFit,59
CI001908,M0112,2025-03-28,20,Zumba,79
CI001909,M0112,2025-03-09,9,Gym Floor,66
CI001910,M0112,2025-04-24,18,Strength Training,75
CI001911,M0112,2025-08-25,19,Cardio,81
CI001912,M0112,2025-06-29,17,Gym Floor,88
CI001913,M0112,2025-08-27,17,Gym Floor,54
CI001914,M0112,2025-04-29,10,Pilates,76
CI001915,M0112,2025-07-21,18,Gym Floor,63
CI001916,M0112,2025-05-01,12,Strength Training,59
CI001917,M0112,2025-05-23,7,Yoga,78
CI001918,M0112,2025-08-03,10,Gym Floor,51
CI001919,M0112,2025-05-25,10,Gym Floor,55
CI001920,M0112,2025-04-16,18,Gym Floor,41
CI001921,M0112,2025-04-13,8,Spin,67
CI001922,M0112,2025-07-14,7,Pilates,86
CI001923,M0112,2025-03-21,9,Zumba,49
CI001924,M0112,2025-06-13,12,Gym Floor,68
CI001925,M0112,2025-03-16,19,Pilates,59
CI001926,M0112,2025-03-03,21,Gym Floor,36
CI001927,M0112,2025-08-24,16,Gym Floor,44
CI001928,M0112,2025-08-20,18,Spin,72
CI001929,M0112,2025-03-04,7,Gym Floor,55
CI001930,M0112,2025-04-23,12,Gym Floor,30
CI001931,M0112,2025-03-15,19,Gym Floor,54
CI001932,M0112,2025-08-10,19,Pilates,51
CI001933,M0112,2025-03-14,7,HIIT,54
CI001934,M0112,2025-07-15,21,Cardio,60
CI001935,M0112,2025-07-26,10,HIIT,57
CI001936,M0112,2025-08-23,8,Gym Floor,58
CI001937,M0112,2025-08-28,19,Cardio,57
CI001938,M0112,2025-03-19,20,Cardio,62
CI001939,M0112,2025-04-06,17,Gym Floor,57
CI001940,M0112,2025-07-17,6,CrossFit,60
CI001941,M0112,2025-06-30,8,HIIT,51
CI001942,M0113,2025-07-15,6,Gym Floor,24
CI001943,M0113,2025-06-20,10,Gym Floor,92
CI001944,M0113,2025-05-14,17,Gym Floor,20
CI001945,M0113,2025-07-14,8,Gym Floor,61
CI001946,M0113,2025-08-13,21,HIIT,48
CI001947,M0113,2025-04-30,11,Gym Floor,45
CI001948,M0113,2025-06-16,9,Cardio,56
CI001949,M0113,2025-03-21,9,Gym Floor,38
CI001950,M0113,2025-07-06,21,Zumba,43
CI001951,M0113,2025-05-18,7,CrossFit,38
CI001952,M0113,2025-05-27,20,Spin,85
CI001953,M0114,2025-04-03,9,Gym Floor,41
CI001954,M0114,2025-07-25,19,Gym Floor,31
CI001955,M0114,2025-05-17,8,Strength Training,59
CI001956,M0114,2025-07-12,11,Pilates,48
CI001957,M0114,2025-03-20,7,Spin,61
CI001958,M0114,2025-08-20,6,Strength Training,45
CI001959,M0114,2025-06-17,8,Pilates,43
CI001960,M0114,2025-04-30,17,Strength Training,78
CI001961,M0114,2025-04-20,20,Yoga,52
CI001962,M0114,2025-03-24,16,Gym Floor,48
CI001963,M0114,2025-07-20,17,Gym Floor,65
CI001964,M0114,2025-08-17,18,Gym Floor,34
CI001965,M0114,2025-04-16,7,HIIT,49
CI001966,M0114,2025-07-18,8,Gym Floor,72
CI001967,M0114,2025-05-11,17,Zumba,72
CI001968,M0114,2025-07-25,19,Zumba,76
CI001969,M0114,2025-07-19,9,Pilates,61
CI001970,M0114,2025-06-29,10,Gym Floor,88
CI001971,M0114,2025-05-27,8,Spin,40
CI001972,M0115,2025-07-12,7,Gym Floor,52
CI001973,M0115,2025-05-07,18,CrossFit,38
CI001974,M0115,2025-06-17,16,Gym Floor,56
CI001975,M0115,2025-05-31,17,Gym Floor,72
CI001976,M0115,2025-07-30,18,Pilates,63
CI001977,M0116,2025-08-10,11,Cardio,45
CI001978,M0116,2025-05-12,7,Spin,35
CI001979,M0116,2025-03-05,19,Strength Training,57
CI001980,M0116,2025-07-20,19,CrossFit,54
CI001981,M0117,2025-05-04,19,Gym Floor,20
