CheckInID,MemberID,CheckInDate,CheckInHour,ClassAttended,DurationMinutes,DayOfWeek,Month,TimeSlot
CI001041,M0063,2025-06-21,8,Gym Floor,63,Saturday,2025-06,Early Morning
CI001042,M0063,2025-05-14,17,Yoga,74,Wednesday,2025-05,Evening
CI001043,M0063,2025-04-18,8,Gym Floor,34,Friday,2025-04,Early Morning
CI001044,M0064,2025-06-01,9,CrossFit,43,Sunday,2025-06,Early Morning
CI001045,M0064,2025-05-04,7,Pilates,51,Sunday,2025-05,Early Morning
CI001046,M0064,2025-03-03,17,Gym Floor,48,Monday,2025-03,Evening
CI001047,M0064,2025-08-23,17,Yoga,46,Saturday,2025-08,Evening
CI001048,M0064,2025-08-01,18,Gym Floor,47,Friday,2025-08,Evening
CI001049,M0064,2025-05-01,21,Yoga,67,Thursday,2025-05,Night
CI001050,M0064,2025-06-03,19,CrossFit,87,Tuesday,2025-06,Evening
CI001051,M0064,2025-06-20,16,Pilates,90,Friday,2025-06,Afternoon
CI001052,M0064,2025-03-19,10,HIIT,55,Wednesday,2025-03,Morning
CI001053,M0064,2025-08-08,6,CrossFit,25,Friday,2025-08,Early Morning
CI001054,M0064,2025-04-04,19,Gym Floor,70,Friday,2025-04,Evening
CI001055,M0064,2025-06-17,17,Cardio,24,Tuesday,2025-06,Evening
CI001056,M0064,2025-08-29,12,Strength Training,59,Friday,2025-08,Morning
CI001057,M0064,2025-05-09,12,Yoga,36,Friday,2025-05,Morning
CI001058,M0064,2025-08-03,8,CrossFit,53,Sunday,2025-08,Early Morning
CI001059,M0064,2025-06-15,7,Gym Floor,39,Sunday,2025-06,Early Morning
CI001060,M0064,2025-06-22,18,Gym Floor,48,Sunday,2025-06,Evening
CI001061,M0064,2025-08-03,16,Gym Floor,20,Sunday,2025-08,Afternoon
CI001062,M0064,2025-03-21,16,Gym Floor,43,Friday,2025-03,Afternoon
CI001063,M0064,2025-04-29,17,Cardio,66,Tuesday,2025-04,Evening
CI001064,M0064,2025-05-29,8,Yoga,44,Thursday,2025-05,Early Morning
CI001065,M0064,2025-06-12,7,Zumba,21,Thursday,2025-06,Early Morning
CI001066,M0064,2025-06-28,19,Strength Training,41,Saturday,2025-06,Evening
CI001067,M0064,2025-08-23,9,Pilates,67,Saturday,2025-08,Early Morning
CI001068,M0064,2025-07-13,18,Spin,35,Sunday,2025-07,Evening
CI001069,M0064,2025-04-25,10,CrossFit,55,Friday,2025-04,Morning
CI001070,M0064,2025-06-09,18,HIIT,72,Monday,2025-06,Evening
CI001071,M0064,2025-04-05,17,Gym Floor,95,Saturday,2025-04,Evening
CI001072,M0064,2025-06-22,16,HIIT,44,Sunday,2025-06,Afternoon
CI001073,M0064,2025-08-08,17,Gym Floor,50,Friday,2025-08,Evening
CI001074,M0064,2025-08-06,8,CrossFit,46,Wednesday,2025-08,Early Morning
CI001075,M0064,2025-06-09,7,Gym Floor,73,Monday,2025-06,Early Morning
CI001076,M0064,2025-03-07,10,Pilates,54,Friday,2025-03,Morning
CI001077,M0064,2025-06-04,18,Cardio,51,Wednesday,2025-06,Evening
CI001078,M0064,2025-05-02,10,Gym Floor,100,Friday,2025-05,Morning
CI001079,M0064,2025-03-27,8,Gym Floor,60,Thursday,2025-03,Early Morning
CI001080,M0064,2025-07-09,8,Gym Floor,54,Wednesday,2025-07,Early Morning
CI001081,M0064,2025-05-09,19,Pilates,65,Friday,2025-05,Evening
CI001082,M0064,2025-06-20,19,CrossFit,71,Friday,2025-06,Evening
CI001083,M0064,2025-07-11,18,Pilates,47,Friday,2025-07,Evening
CI001084,M0064,2025-07-10,18,Gym Floor,20,Thursday,2025-07,Evening
CI001085,M0064,2025-07-15,18,Strength Training,71,Tuesday,2025-07,Evening
CI001086,M0064,2025-04-26,17,Gym Floor,59,Saturday,2025-04,Evening
CI001087,M0064,2025-06-20,17,Zumba,64,Friday,2025-06,Evening
CI001088,M0064,2025-06-16,7,Gym Floor,63,Monday,2025-06,Early Morning
CI001089,M0064,2025-04-11,16,Gym Floor,31,Friday,2025-04,Afternoon
CI001090,M0065,2025-04-29,16,Pilates,48,Tuesday,2025-04,Afternoon
CI001091,M0065,2025-04-22,18,Gym Floor,43,Tuesday,2025-04,Evening
CI001092,M0065,2025-06-19,6,Gym Floor,65,Thursday,2025-06,Early Morning
CI001093,M0065,2025-03-26,17,Gym Floor,45,Wednesday,2025-03,Evening
CI001094,M0065,2025-03-07,19,HIIT,57,Friday,2025-03,Evening
CI001095,M0065,2025-08-28,17,Gym Floor,59,Thursday,2025-08,Evening
CI001096,M0065,2025-06-11,6,Yoga,41,Wednesday,2025-06,Early Morning
CI001097,M0065,2025-03-04,16,HIIT,61,Tuesday,2025-03,Afternoon
CI001098,M0065,2025-05-20,9,Pilates,48,Tuesday,2025-05,Early Morning
CI001099,M0065,2025-07-04,9,Zumba,32,Friday,2025-07,Early Morning
CI001100,M0065,2025-03-20,18,Spin,55,Thursday,2025-03,Evening
CI001101,M0066,2025-03-13,17,Pilates,64,Thursday,2025-03,Evening
CI001102,M0066,2025-04-01,11,Gym Floor,31,Tuesday,2025-04,Morning
CI001103,M0066,2025-04-29,9,Gym Floor,77,Tuesday,2025-04,Early Morning
CI001104,M0066,2025-08-18,18,Yoga,50,Monday,2025-08,Evening
CI001105,M0066,2025-06-20,9,Gym Floor,40,Friday,2025-06,Early Morning
CI001106,M0066,2025-08-09,18,Pilates,64,Saturday,2025-08,Evening
CI001107,M0066,2025-05-23,6,Gym Floor,35,Friday,2025-05,Early Morning
CI001108,M0067,2025-08-27,18,Gym Floor,58,Wednesday,2025-08,Evening
CI001109,M0067,2025-07-28,12,Spin,42,Monday,2025-07,Morning
CI001110,M0067,2025-03-21,9,Gym Floor,29,Friday,2025-03,Early Morning
CI001111,M0067,2025-07-27,12,HIIT,20,Sunday,2025-07,Morning
CI001112,M0067,2025-03-22,18,Yoga,58,Saturday,2025-03,Evening
CI001113,M0067,2025-06-15,19,Gym Floor,48,Sunday,2025-06,Evening
CI001114,M0067,2025-04-14,18,Gym Floor,66,Monday,2025-04,Evening
CI001115,M0067,2025-03-10,6,Gym Floor,95,Monday,2025-03,Early Morning
CI001116,M0067,2025-03-20,6,Pilates,55,Thursday,2025-03,Early Morning
CI001117,M0067,2025-08-24,16,Zumba,96,Sunday,2025-08,Afternoon
CI001118,M0067,2025-05-21,20,Gym Floor,42,Wednesday,2025-05,Night
CI001119,M0067,2025-08-12,20,Pilates,27,Tuesday,2025-08,Night
CI001120,M0067,2025-06-09,6,Gym Floor,69,Monday,2025-06,Early Morning
CI001121,M0067,2025-04-17,6,Gym Floor,33,Thursday,2025-04,Early Morning
CI001122,M0067,2025-03-10,17,Pilates,63,Monday,2025-03,Evening
CI001123,M0067,2025-06-24,9,Gym Floor,58,Tuesday,2025-06,Early Morning
CI001124,M0067,2025-04-22,10,Cardio,63,Tuesday,2025-04,Morning
CI001125,M0067,2025-08-03,7,HIIT,73,Sunday,2025-08,Early Morning
CI001126,M0067,2025-08-23,6,Gym Floor,47,Saturday,2025-08,Early Morning
CI001127,M0067,2025-05-17,18,Strength Training,71,Saturday,2025-05,Evening
CI001128,M0067,2025-07-11,7,HIIT,42,Friday,2025-07,Early Morning
CI001129,M0067,2025-05-15,20,Strength Training,32,Thursday,2025-05,Night
CI001130,M0067,2025-07-04,17,Gym Floor,35,Friday,2025-07,Evening
CI001131,M0067,2025-08-17,9,HIIT,76,Sunday,2025-08,Early Morning
CI001132,M0067,2025-03-08,17,Pilates,60,Saturday,2025-03,Evening
CI001133,M0068,2025-04-02,12,Gym Floor,20,Wednesday,2025-04,Morning
CI001134,M0068,2025-07-07,7,Zumba,53,Monday,2025-07,Early Morning
CI001135,M0068,2025-08-19,11,HIIT,46,Tuesday,2025-08,Morning
CI001136,M0068,2025-05-01,9,Yoga,43,Thursday,2025-05,Early Morning
CI001137,M0068,2025-08-18,7,Gym Floor,45,Monday,2025-08,Early Morning
CI001138,M0068,2025-05-07,10,Gym Floor,63,Wednesday,2025-05,Morning
CI001139,M0068,2025-05-13,12,HIIT,28,Tuesday,2025-05,Morning
CI001140,M0068,2025-06-18,19,HIIT,43,Wednesday,2025-06,Evening
CI001141,M0068,2025-06-28,8,Gym Floor,81,Saturday,2025-06,Early Morning
CI001142,M0068,2025-06-26,6,Gym Floor,56,Thursday,2025-06,Early Morning
CI001143,M0068,2025-07-11,19,Cardio,66,Friday,2025-07,Evening
CI001144,M0068,2025-06-21,16,Zumba,40,Saturday,2025-06,Afternoon
CI001145,M0068,2025-06-15,21,Gym Floor,36,Sunday,2025-06,Night
CI001146,M0068,2025-03-26,18,Spin,73,Wednesday,2025-03,Evening
CI001147,M0068,2025-06-02,6,Spin,75,Monday,2025-06,Early Morning
CI001148,M0068,2025-03-19,17,Gym Floor,20,Wednesday,2025-03,Evening
CI001149,M0068,2025-07-01,21,Gym Floor,63,Tuesday,2025-07,Night
CI001150,M0068,2025-05-05,18,Strength Training,70,Monday,2025-05,Evening
CI001151,M0068,2025-03-03,19,Gym Floor,65,Monday,2025-03,Evening
CI001152,M0068,2025-05-27,16,Cardio,65,Tuesday,2025-05,Afternoon
CI001153,M0068,2025-07-29,10,Gym Floor,57,Tuesday,2025-07,Morning
CI001154,M0068,2025-03-07,9,Yoga,81,Friday,2025-03,Early Morning
CI001155,M0068,2025-07-14,20,Zumba,103,Monday,2025-07,Night
CI001156,M0068,2025-08-28,8,Gym Floor,70,Thursday,2025-08,Early Morning
CI001157,M0068,2025-05-05,9,Cardio,74,Monday,2025-05,Early Morning
CI001158,M0068,2025-08-20,11,Gym Floor,39,Wednesday,2025-08,Morning
CI001159,M0068,2025-06-01,17,Strength Training,35,Sunday,2025-06,Evening
CI001160,M0068,2025-03-21,12,Cardio,48,Friday,2025-03,Morning
CI001161,M0068,2025-08-05,17,Zumba,47,Tuesday,2025-08,Evening
CI001162,M0068,2025-07-20,19,Gym Floor,55,Sunday,2025-07,Evening
CI001163,M0068,2025-08-22,11,Gym Floor,53,Friday,2025-08,Morning
CI001164,M0068,2025-07-19,9,Gym Floor,63,Saturday,2025-07,Early Morning
CI001165,M0068,2025-08-01,17,Cardio,50,Friday,2025-08,Evening
CI001166,M0068,2025-08-08,8,CrossFit,38,Friday,2025-08,Early Morning
CI001167,M0068,2025-07-17,19,CrossFit,54,Thursday,2025-07,Evening
CI001168,M0068,2025-03-10,16,Pilates,54,Monday,2025-03,Afternoon
CI001169,M0068,2025-07-15,17,HIIT,51,Tuesday,2025-07,Evening
CI001170,M0068,2025-05-24,18,Yoga,20,Saturday,2025-05,Evening
CI001171,M0069,2025-04-13,18,HIIT,42,Sunday,2025-04,Evening
CI001172,M0069,2025-06-30,10,Gym Floor,70,Monday,2025-06,Morning
CI001173,M0070,2025-07-22,7,Strength Training,46,Tuesday,2025-07,Early Morning
CI001174,M0070,2025-07-12,12,Gym Floor,70,Saturday,2025-07,Morning
CI001175,M0070,2025-08-18,6,Pilates,47,Monday,2025-08,Early Morning
CI001176,M0070,2025-08-19,16,Gym Floor,81,Tuesday,2025-08,Afternoon
CI001177,M0070,2025-04-11,10,Gym Floor,65,Friday,2025-04,Morning
CI001178,M0070,2025-05-15,10,Strength Training,58,Thursday,2025-05,Morning
CI001179,M0070,2025-06-30,18,Cardio,50,Monday,2025-06,Evening
CI001180,M0070,2025-03-17,8,Gym Floor,52,Monday,2025-03,Early Morning
CI001181,M0070,2025-04-28,7,Gym Floor,65,Monday,2025-04,Early Morning
CI001182,M0070,2025-07-12,18,CrossFit,32,Saturday,2025-07,Evening
CI001183,M0071,2025-06-21,10,Strength Training,61,Saturday,2025-06,Morning
CI001184,M0071,2025-04-09,8,Cardio,90,Wednesday,2025-04,Early Morning
CI001185,M0071,2025-07-01,7,Gym Floor,53,Tuesday,2025-07,Early Morning
CI001186,M0071,2025-06-29,17,Gym Floor,45,Sunday,2025-06,Evening
CI001187,M0071,2025-08-11,17,Yoga,48,Monday,2025-08,Evening
CI001188,M0071,2025-04-14,16,Gym Floor,55,Monday,2025-04,Afternoon
CI001189,M0071,2025-04-29,20,Gym Floor,67,Tuesday,2025-04,Night
CI001190,M0071,2025-05-17,18,Gym Floor,52,Saturday,2025-05,Evening
CI001191,M0071,2025-06-22,18,Gym Floor,67,Sunday,2025-06,Evening
CI001192,M0071,2025-07-19,21,Cardio,69,Saturday,2025-07,Night
CI001193,M0071,2025-07-20,6,CrossFit,55,Sunday,2025-07,Early Morning
CI001194,M0071,2025-07-31,16,Cardio,57,Thursday,2025-07,Afternoon
CI001195,M0071,2025-05-18,17,Gym Floor,36,Sunday,2025-05,Evening
CI001196,M0071,2025-07-25,21,Gym Floor,65,Friday,2025-07,Night
CI001197,M0071,2025-08-19,11,HIIT,71,Tuesday,2025-08,Morning
CI001198,M0071,2025-03-05,21,Pilates,51,Wednesday,2025-03,Night
CI001199,M0071,2025-03-13,19,Pilates,47,Thursday,2025-03,Evening
CI001200,M0071,2025-06-14,18,Yoga,79,Saturday,2025-06,Evening
CI001201,M0071,2025-06-25,19,Strength Training,56,Wednesday,2025-06,Evening
CI001202,M0071,2025-07-18,17,Gym Floor,71,Friday,2025-07,Evening
CI001203,M0071,2025-08-13,19,Zumba,38,Wednesday,2025-08,Evening
CI001204,M0071,2025-06-09,10,Gym Floor,46,Monday,2025-06,Morning
CI001205,M0072,2025-07-04,18,Gym Floor,51,Friday,2025-07,Evening
CI001206,M0072,2025-07-19,7,HIIT,53,Saturday,2025-07,Early Morning
CI001207,M0072,2025-04-26,8,HIIT,54,Saturday,2025-04,Early Morning
CI001208,M0072,2025-04-02,18,Gym Floor,24,Wednesday,2025-04,Evening
CI001209,M0072,2025-06-12,17,Spin,67,Thursday,2025-06,Evening
CI001210,M0072,2025-07-19,19,Gym Floor,38,Saturday,2025-07,Evening
CI001211,M0072,2025-05-02,17,Cardio,72,Friday,2025-05,Evening
CI001212,M0072,2025-03-16,20,Gym Floor,71,Sunday,2025-03,Night
CI001213,M0072,2025-03-26,19,Cardio,41,Wednesday,2025-03,Evening
CI001214,M0072,2025-05-15,17,Gym Floor,20,Thursday,2025-05,Evening
CI001215,M0073,2025-04-26,6,Cardio,53,Saturday,2025-04,Early Morning
CI001216,M0073,2025-08-13,18,HIIT,54,Wednesday,2025-08,Evening
CI001217,M0073,2025-05-17,7,Strength Training,50,Saturday,2025-05,Early Morning
CI001218,M0073,2025-06-21,17,Gym Floor,65,Saturday,2025-06,Evening
CI001219,M0073,2025-05-30,7,Zumba,73,Friday,2025-05,Early Morning
CI001220,M0073,2025-08-11,19,CrossFit,67,Monday,2025-08,Evening
CI001221,M0073,2025-07-29,20,HIIT,91,Tuesday,2025-07,Night
CI001222,M0073,2025-04-08,19,Gym Floor,49,Tuesday,2025-04,Evening
CI001223,M0073,2025-07-18,6,Cardio,35,Friday,2025-07,Early Morning
CI001224,M0073,2025-04-03,16,Zumba,51,Thursday,2025-04,Afternoon
CI001225,M0074,2025-08-01,16,HIIT,46,Friday,2025-08,Afternoon
CI001226,M0074,2025-06-30,18,Gym Floor,36,Monday,2025-06,Evening
CI001227,M0074,2025-04-10,8,Gym Floor,44,Thursday,2025-04,Early Morning
CI001228,M0074,2025-05-05,6,Spin,103,Monday,2025-05,Early Morning
CI001229,M0074,2025-06-22,7,Gym Floor,53,Sunday,2025-06,Early Morning
CI001230,M0074,2025-07-26,16,Pilates,42,Saturday,2025-07,Afternoon
CI001231,M0074,2025-03-31,17,CrossFit,25,Monday,2025-03,Evening
CI001232,M0074,2025-08-14,20,Gym Floor,70,Thursday,2025-08,Night
CI001233,M0074,2025-08-10,9,CrossFit,44,Sunday,2025-08,Early Morning
CI001234,M0074,2025-08-10,9,Spin,50,Sunday,2025-08,Early Morning
CI001235,M0074,2025-07-02,19,Yoga,52,Wednesday,2025-07,Evening
CI001236,M0074,2025-06-12,18,Gym Floor,65,Thursday,2025-06,Evening
CI001237,M0074,2025-06-22,7,Gym Floor,75,Sunday,2025-06,Early Morning
CI001238,M0074,2025-05-12,20,Cardio,53,Monday,2025-05,Night
CI001239,M0074,2025-04-17,18,Gym Floor,50,Thursday,2025-04,Evening
CI001240,M0074,2025-08-09,16,Pilates,100,Saturday,2025-08,Afternoon
CI001241,M0074,2025-04-25,8,Pilates,81,Friday,2025-04,Early Morning
CI001242,M0074,2025-03-08,17,Strength Training,65,Saturday,2025-03,Evening
CI001243,M0074,2025-07-22,19,Gym Floor,78,Tuesday,2025-07,Evening
CI001244,M0074,2025-08-02,19,Gym Floor,76,Saturday,2025-08,Evening
CI001245,M0074,2025-03-26,10,Gym Floor,64,Wednesday,2025-03,Morning
CI001246,M0074,2025-03-08,16,Gym Floor,23,Saturday,2025-03,Afternoon
CI001247,M0074,2025-05-04,8,Gym Floor,65,Sunday,2025-05,Early Morning
CI001248,M0074,2025-07-03,6,Gym Floor,79,Thursday,2025-07,Early Morning
CI001249,M0074,2025-03-04,19,Gym Floor,49,Tuesday,2025-03,Evening
CI001250,M0074,2025-03-20,16,Spin,88,Thursday,2025-03,Afternoon
CI001251,M0074,2025-07-04,18,Yoga,86,Friday,2025-07,Evening
CI001252,M0074,2025-08-30,17,Zumba,60,Saturday,2025-08,Evening
CI001253,M0074,2025-08-20,17,Gym Floor,55,Wednesday,2025-08,Evening
CI001254,M0074,2025-04-16,19,Gym Floor,84,Wednesday,2025-04,Evening
CI001255,M0074,2025-06-30,17,Pilates,56,Monday,2025-06,Evening
CI001256,M0074,2025-08-09,12,Yoga,35,Saturday,2025-08,Morning
CI001257,M0074,2025-03-02,17,Gym Floor,54,Sunday,2025-03,Evening
CI001258,M0074,2025-07-20,11,Yoga,93,Sunday,2025-07,Morning
CI001259,M0074,2025-03-18,6,CrossFit,44,Tuesday,2025-03,Early Morning
CI001260,M0074,2025-07-02,16,Gym Floor,46,Wednesday,2025-07,Afternoon
CI001261,M0074,2025-08-27,11,Gym Floor,38,Wednesday,2025-08,Morning
CI001262,M0074,2025-05-20,16,Gym Floor,69,Tuesday,2025-05,Afternoon
CI001263,M0074,2025-05-11,21,Pilates,20,Sunday,2025-05,Night
CI001264,M0074,2025-03-23,16,Yoga,50,Sunday,2025-03,Afternoon
CI001265,M0074,2025-04-15,8,Zumba,56,Tuesday,2025-04,Early Morning
CI001266,M0075,2025-04-08,18,Gym Floor,50,Tuesday,2025-04,Evening
CI001267,M0076,2025-08-07,20,HIIT,63,Thursday,2025-08,Night
CI001268,M0076,2025-04-25,6,Gym Floor,49,Friday,2025-04,Early Morning
CI001269,M0076,2025-07-04,16,Gym Floor,84,Friday,2025-07,Afternoon
CI001270,M0076,2025-05-10,8,Zumba,71,Saturday,2025-05,Early Morning
CI001271,M0076,2025-06-08,7,Yoga,60,Sunday,2025-06,Early Morning
CI001272,M0076,2025-08-31,6,Spin,39,Sunday,2025-08,Early Morning
CI001273,M0076,2025-08-29,19,Gym Floor,43,Friday,2025-08,Evening
CI001274,M0076,2025-08-07,18,Yoga,51,Thursday,2025-08,Evening
CI001275,M0076,2025-04-21,11,Gym Floor,40,Monday,2025-04,Morning
CI001276,M0076,2025-04-21,16,CrossFit,37,Monday,2025-04,Afternoon
CI001277,M0077,2025-07-22,12,Strength Training,93,Tuesday,2025-07,Morning
CI001278,M0077,2025-07-18,11,CrossFit,72,Friday,2025-07,Morning
CI001279,M0077,2025-07-05,18,HIIT,20,Saturday,2025-07,Evening
CI001280,M0077,2025-06-02,8,HIIT,52,Monday,2025-06,Early Morning
CI001281,M0077,2025-06-30,16,HIIT,49,Monday,2025-06,Afternoon
CI001282,M0077,2025-06-16,8,Gym Floor,90,Monday,2025-06,Early Morning
CI001283,M0077,2025-04-08,16,Gym Floor,53,Tuesday,2025-04,Afternoon
CI001284,M0077,2025-06-13,8,Yoga,56,Friday,2025-06,Early Morning
CI001285,M0077,2025-03-08,7,Cardio,72,Saturday,2025-03,Early Morning
CI001286,M0077,2025-03-19,8,Gym Floor,69,Wednesday,2025-03,Early Morning
CI001287,M0077,2025-04-12,7,HIIT,64,Saturday,2025-04,Early Morning
CI001288,M0077,2025-05-11,18,CrossFit,53,Sunday,2025-05,Evening
CI001289,M0077,2025-08-27,21,CrossFit,32,Wednesday,2025-08,Night
CI001290,M0077,2025-03-29,7,Gym Floor,55,Saturday,2025-03,Early Morning
CI001291,M0077,2025-07-09,8,Gym Floor,60,Wednesday,2025-07,Early Morning
CI001292,M0077,2025-03-02,18,Gym Floor,71,Sunday,2025-03,Evening
CI001293,M0077,2025-05-04,8,Spin,86,Sunday,2025-05,Early Morning
CI001294,M0077,2025-07-12,20,Spin,74,Saturday,2025-07,Night
CI001295,M0077,2025-07-24,11,Zumba,28,Thursday,2025-07,Morning
CI001296,M0077,2025-04-13,10,Gym Floor,59,Sunday,2025-04,Morning
CI001297,M0077,2025-07-31,20,Spin,51,Thursday,2025-07,Night
CI001298,M0077,2025-03-24,6,Cardio,63,Monday,2025-03,Early Morning
CI001299,M0077,2025-03-09,6,Gym Floor,74,Sunday,2025-03,Early Morning
CI001300,M0077,2025-05-20,18,Gym Floor,55,Tuesday,2025-05,Evening
CI001301,M0077,2025-04-14,20,Gym Floor,54,Monday,2025-04,Night
CI001302,M0077,2025-06-13,6,Pilates,44,Friday,2025-06,Early Morning
CI001303,M0078,2025-04-11,18,Gym Floor,44,Friday,2025-04,Evening
CI001304,M0078,2025-06-24,6,Gym Floor,54,Tuesday,2025-06,Early Morning
CI001305,M0078,2025-05-31,17,Gym Floor,84,Saturday,2025-05,Evening
CI001306,M0078,2025-07-31,7,Spin,49,Thursday,2025-07,Early Morning
CI001307,M0078,2025-03-06,7,Gym Floor,56,Thursday,2025-03,Early Morning
CI001308,M0078,2025-07-12,19,Gym Floor,34,Saturday,2025-07,Evening
CI001309,M0078,2025-04-22,21,Gym Floor,47,Tuesday,2025-04,Night
CI001310,M0078,2025-03-07,18,Gym Floor,52,Friday,2025-03,Evening
CI001311,M0078,2025-03-30,21,Pilates,24,Sunday,2025-03,Night
CI001312,M0078,2025-04-17,6,Gym Floor,42,Thursday,2025-04,Early Morning
CI001313,M0078,2025-06-15,12,Gym Floor,79,Sunday,2025-06,Morning
CI001314,M0078,2025-05-17,12,Gym Floor,48,Saturday,2025-05,Morning
CI001315,M0078,2025-06-11,6,Gym Floor,63,Wednesday,2025-06,Early Morning
CI001316,M0078,2025-07-24,18,Gym Floor,22,Thursday,2025-07,Evening
CI001317,M0078,2025-07-30,10,Cardio,42,Wednesday,2025-07,Morning
CI001318,M0078,2025-07-12,18,Pilates,69,Saturday,2025-07,Evening
CI001319,M0078,2025-08-13,18,Gym Floor,77,Wednesday,2025-08,Evening
CI001320,M0078,2025-06-06,19,CrossFit,51,Friday,2025-06,Evening
CI001321,M0078,2025-03-14,16,Yoga,43,Friday,2025-03,Afternoon
CI001322,M0078,2025-08-15,16,Spin,60,Friday,2025-08,Afternoon
CI001323,M0078,2025-06-10,17,Gym Floor,63,Tuesday,2025-06,Evening
CI001324,M0078,2025-08-05,19,Gym Floor,42,Tuesday,2025-08,Evening
CI001325,M0078,2025-08-08,6,Yoga,31,Friday,2025-08,Early Morning
CI001326,M0078,2025-07-22,17,Yoga,32,Tuesday,2025-07,Evening
CI001327,M0078,2025-03-06,16,Strength Training,86,Thursday,2025-03,Afternoon
CI001328,M0078,2025-08-04,8,Gym Floor,76,Monday,2025-08,Early Morning
CI001329,M0078,2025-03-02,18,Gym Floor,65,Sunday,2025-03,Evening
CI001330,M0078,2025-03-21,6,Gym Floor,47,Friday,2025-03,Early Morning
CI001331,M0078,2025-05-24,21,Gym Floor,92,Saturday,2025-05,Night
CI001332,M0078,2025-05-11,20,Gym Floor,65,Sunday,2025-05,Night
CI001333,M0078,2025-04-20,16,Gym Floor,20,Sunday,2025-04,Afternoon
CI001334,M0078,2025-04-07,9,Strength Training,77,Monday,2025-04,Early Morning
CI001335,M0078,2025-08-09,11,Gym Floor,45,Saturday,2025-08,Morning
CI001336,M0078,2025-04-09,7,Gym Floor,56,Wednesday,2025-04,Early Morning
CI001337,M0078,2025-03-20,20,Cardio,45,Thursday,2025-03,Night
CI001338,M0078,2025-08-11,17,Pilates,59,Monday,2025-08,Evening
CI001339,M0078,2025-08-10,17,Yoga,37,Sunday,2025-08,Evening
CI001340,M0078,2025-04-12,19,Cardio,31,Saturday,2025-04,Evening
CI001341,M0078,2025-07-01,7,Gym Floor,71,Tuesday,2025-07,Early Morning
CI001342,M0079,2025-06-28,9,Strength Training,53,Saturday,2025-06,Early Morning
CI001343,M0079,2025-04-05,10,Gym Floor,65,Saturday,2025-04,Morning
CI001344,M0079,2025-06-06,7,Zumba,62,Friday,2025-06,Early Morning
CI001345,M0079,2025-08-02,17,Gym Floor,26,Saturday,2025-08,Evening
CI001346,M0079,2025-08-14,19,Gym Floor,68,Thursday,2025-08,Evening
CI001347,M0080,2025-05-16,7,Gym Floor,50,Friday,2025-05,Early Morning
CI001348,M0080,2025-08-12,16,Gym Floor,33,Tuesday,2025-08,Afternoon
CI001349,M0080,2025-08-14,16,Gym Floor,91,Thursday,2025-08,Afternoon
CI001350,M0080,2025-04-15,19,Strength Training,36,Tuesday,2025-04,Evening
CI001351,M0080,2025-04-23,12,Cardio,65,Wednesday,2025-04,Morning
CI001352,M0080,2025-07-25,18,Zumba,54,Friday,2025-07,Evening
CI001353,M0080,2025-08-18,7,Gym Floor,57,Monday,2025-08,Early Morning
CI001354,M0080,2025-03-18,8,Cardio,79,Tuesday,2025-03,Early Morning
CI001355,M0080,2025-07-22,7,Gym Floor,56,Tuesday,2025-07,Early Morning
CI001356,M0080,2025-08-20,16,Gym Floor,32,Wednesday,2025-08,Afternoon
CI001357,M0080,2025-06-21,8,Yoga,73,Saturday,2025-06,Early Morning
CI001358,M0080,2025-04-24,17,Zumba,43,Thursday,2025-04,Evening
CI001359,M0080,2025-04-24,19,Spin,91,Thursday,2025-04,Evening
CI001360,M0080,2025-05-04,9,Gym Floor,40,Sunday,2025-05,Early Morning
CI001361,M0080,2025-08-03,8,Gym Floor,58,Sunday,2025-08,Early Morning
CI001362,M0080,2025-03-12,18,Gym Floor,58,Wednesday,2025-03,Evening
CI001363,M0080,2025-04-07,18,Gym Floor,29,Monday,2025-04,Evening
CI001364,M0080,2025-07-23,6,Gym Floor,89,Wednesday,2025-07,Early Morning
CI001365,M0080,2025-06-27,16,Strength Training,34,Friday,2025-06,Afternoon
CI001366,M0080,2025-07-27,19,Spin,33,Sunday,2025-07,Evening
CI001367,M0080,2025-04-24,12,Pilates,61,Thursday,2025-04,Morning
CI001368,M0080,2025-06-08,16,HIIT,39,Sunday,2025-06,Afternoon
CI001369,M0080,2025-04-02,9,Gym Floor,52,Wednesday,2025-04,Early Morning
CI001370,M0080,2025-08-20,21,Zumba,50,Wednesday,2025-08,Night
CI001371,M0080,2025-05-18,11,CrossFit,73,Sunday,2025-05,Morning
CI001372,M0080,2025-04-07,8,CrossFit,61,Monday,2025-04,Early Morning
CI001373,M0080,2025-04-15,12,Gym Floor,47,Tuesday,2025-04,Morning
CI001374,M0080,2025-03-31,11,Gym Floor,68,Monday,2025-03,Morning
CI001375,M0080,2025-07-08,17,HIIT,46,Tuesday,2025-07,Evening
CI001376,M0080,2025-06-07,19,Pilates,38,Saturday,2025-06,Evening
CI001377,M0080,2025-05-07,17,Yoga,48,Wednesday,2025-05,Evening
CI001378,M0080,2025-03-30,17,Cardio,54,Sunday,2025-03,Evening
CI001379,M0080,2025-05-11,8,Pilates,32,Sunday,2025-05,Early Morning
CI001380,M0080,2025-04-01,8,Gym Floor,33,Tuesday,2025-04,Early Morning
CI001381,M0080,2025-05-17,6,Zumba,84,Saturday,2025-05,Early Morning
CI001382,M0080,2025-05-30,20,Gym Floor,59,Friday,2025-05,Night
